company_name,postal_code,address,member_type,source_url,fetched_at
ナッシュ株式会社,530-0005,大阪府大阪市北区中之島3-3-3 中之島三井ビルディング16F,正会員,https://pffta.org/about/members/,2026-06-20
日本アムウエイ合同会社,150-0042,東京都渋谷区宇田川町7-1,正会員,https://pffta.org/about/members/,2026-06-20
株式会社日本生物．科学研究所,553-0003,大阪府大阪市福島区福島1-4-40 JBSL梅田ビル5Ｆ,正会員,https://pffta.org/about/members/,2026-06-20
日本ヒルズ・コルゲート株式会社,102-0084,東京都千代田区二番町5-25 二番町センタービル7F,正会員,https://pffta.org/about/members/,2026-06-20
日本ペットフード株式会社,140-0002,東京都品川区東品川2-2-4 天王洲ファーストタワー5F,正会員,https://pffta.org/about/members/,2026-06-20
ネスレ日本株式会社　ネスレピュリナペットケア,651-0087,兵庫県神戸市中央区御幸通7-1-15 ネスレハウス,正会員,https://pffta.org/about/members/,2026-06-20
はごろもフーズ株式会社,104-0032,東京都中央区八丁堀1-5-2 はごろもビル7階,正会員,https://pffta.org/about/members/,2026-06-20
株式会社パーパス,614-8234,京都府八幡市内里女谷10-1,正会員,https://pffta.org/about/members/,2026-06-20
株式会社一,679-2204,兵庫県神崎郡福崎町西田原1692-1,正会員,https://pffta.org/about/members/,2026-06-20
株式会社ビルバックジャパン,541-0047,大阪府大阪市中央区淡路町1-3-14 ニュー淡路街ビル6階,正会員,https://pffta.org/about/members/,2026-06-20
ファルミナペットフーズ・ジャパン株式会社,141-0001,東京都品川区北品川5-12-4 リードシー御殿山4階,正会員,https://pffta.org/about/members/,2026-06-20
株式会社ブーリアン,157-0062,東京都世田谷区南烏山6-33-36,正会員,https://pffta.org/about/members/,2026-06-20
ベストアメニティ株式会社,830-0102,福岡県久留米市三潴町田川32-3,正会員,https://pffta.org/about/members/,2026-06-20
株式会社ベッツ・チョイス・ジャパン,486-0802,愛知県春日井市桃山町3-102-4,正会員,https://pffta.org/about/members/,2026-06-20
ペットアイ株式会社,329-4402,栃木県栃木市大平町土与215,正会員,https://pffta.org/about/members/,2026-06-20
ペットライン株式会社,507-0062,岐阜県多治見市大針町657-1,正会員,https://pffta.org/about/members/,2026-06-20
株式会社ペティオ,105-0014,東京都港区芝1-10-11 コスモ金杉橋ビル4F,正会員,https://pffta.org/about/members/,2026-06-20
ペットライブラリー株式会社,485-0045,愛知県小牧市川西1-81,正会員,https://pffta.org/about/members/,2026-06-20
マーコグリーンパワー株式会社,300-0847,茨城県土浦市卸町2-9-16,正会員,https://pffta.org/about/members/,2026-06-20
ママクック株式会社,284-0001,千葉県四街道市大日284-17,正会員,https://pffta.org/about/members/,2026-06-20
マルカイコーポレーション株式会社,550-0003,大阪府大阪市西区京町堀1-18-5,正会員,https://pffta.org/about/members/,2026-06-20
マース・ジャパン・リミテッド,108-0075,東京都港区港南1-2-70 品川シーズンテラス7F,正会員,https://pffta.org/about/members/,2026-06-20
株式会社マルカン,532-0011,大阪府大阪市淀川区西中島7-1-26 オリエンタル新大阪ビル12F,正会員,https://pffta.org/about/members/,2026-06-20
マルトモ株式会社,799-3192,愛媛県伊予市米湊1696番地,正会員,https://pffta.org/about/members/,2026-06-20
株式会社三矢コーポレーション,731-0211,広島市安佐北区三入5丁目15-6,正会員,https://pffta.org/about/members/,2026-06-20
株式会社森乳サンワールド,108-0075,東京都港区港南3-8-1 森永乳業港南ビル4F,正会員,https://pffta.org/about/members/,2026-06-20
ユニ・チャーム株式会社,108-8575,東京都港区三田3-5-19 住友不動産東京三田ガーデンタワー,正会員,https://pffta.org/about/members/,2026-06-20
株式会社吉岡油糧,343-0106,埼玉県北葛飾郡松伏町大川戸1036-1,正会員,https://pffta.org/about/members/,2026-06-20
ライオンペット株式会社,111-8644,東京都台東区蔵前1-3-28,正会員,https://pffta.org/about/members/,2026-06-20
株式会社ライトハウス,567-0829,大阪府茨木市双葉町10-1 茨木東阪急ビル403号,正会員,https://pffta.org/about/members/,2026-06-20
株式会社レティシアン,104-0031,東京都中央区京橋2-2-1,正会員,https://pffta.org/about/members/,2026-06-20
レッドハート株式会社,651-0096,神戸市中央区雲井通4-2-2 マークラー神戸ビル12F,正会員,https://pffta.org/about/members/,2026-06-20
ロイヤルカナンジャポン合同会社,108-0075,東京都港区港南1-2-70 品川シーズンテラス7F,正会員,https://pffta.org/about/members/,2026-06-20
Y.K.エンタープライズ株式会社,678-0239,兵庫県赤穂市加里屋磯1120-117,正会員,https://pffta.org/about/members/,2026-06-20
株式会社わんわん,532-0011,大阪府大阪市淀川区西中島6-8-8 花原第八ビル4F,正会員,https://pffta.org/about/members/,2026-06-20
一般財団法人食品分析開発センターSUNATEC,510-0825,三重県四日市市赤堀新町9-5,準会員,https://pffta.org/about/members/,2026-06-20
一般財団法人獣医療法食評価センター,151-0051,東京都渋谷区千駄ヶ谷5-21-5　ミサワビル2F,準会員,https://pffta.org/about/members/,2026-06-20
株式会社静環境検査センター,426-0041,静岡県藤枝市高柳2310番地,準会員,https://pffta.org/about/members/,2026-06-20
一般財団法人日本食品分析センター,151-0062,東京都渋谷区元代々木町52-1,準会員,https://pffta.org/about/members/,2026-06-20
